,gt_path,obj_id,n_pos
0,labelsTs/img0007.nii.gz,1,41
1,labelsTs/img0007.nii.gz,2,37
2,labelsTs/img0007.nii.gz,3,42
3,labelsTs/img0007.nii.gz,4,24
4,labelsTs/img0007.nii.gz,5,30
5,labelsTs/img0007.nii.gz,6,65
6,labelsTs/img0007.nii.gz,7,46
7,labelsTs/img0007.nii.gz,8,88
8,labelsTs/img0007.nii.gz,9,72
9,labelsTs/img0007.nii.gz,10,17
10,labelsTs/img0007.nii.gz,11,15
11,labelsTs/img0007.nii.gz,12,15
12,labelsTs/img0007.nii.gz,13,14
13,labelsTs/img0040.nii.gz,1,28
14,labelsTs/img0040.nii.gz,2,38
15,labelsTs/img0040.nii.gz,3,36
16,labelsTs/img0040.nii.gz,4,15
17,labelsTs/img0040.nii.gz,5,62
18,labelsTs/img0040.nii.gz,6,62
19,labelsTs/img0040.nii.gz,7,51
20,labelsTs/img0040.nii.gz,8,93
21,labelsTs/img0040.nii.gz,9,56
22,labelsTs/img0040.nii.gz,10,17
23,labelsTs/img0040.nii.gz,11,27
24,labelsTs/img0040.nii.gz,12,8
25,labelsTs/img0040.nii.gz,13,16
26,labelsTs/img0009.nii.gz,1,106
27,labelsTs/img0009.nii.gz,2,51
28,labelsTs/img0009.nii.gz,3,47
29,labelsTs/img0009.nii.gz,4,11
30,labelsTs/img0009.nii.gz,5,44
31,labelsTs/img0009.nii.gz,6,81
32,labelsTs/img0009.nii.gz,7,67
33,labelsTs/img0009.nii.gz,8,110
34,labelsTs/img0009.nii.gz,9,96
35,labelsTs/img0009.nii.gz,10,48
36,labelsTs/img0009.nii.gz,11,31
37,labelsTs/img0009.nii.gz,12,15
38,labelsTs/img0009.nii.gz,13,8
39,labelsTs/img0036.nii.gz,1,37
40,labelsTs/img0036.nii.gz,2,41
41,labelsTs/img0036.nii.gz,3,40
42,labelsTs/img0036.nii.gz,4,9
43,labelsTs/img0036.nii.gz,5,33
44,labelsTs/img0036.nii.gz,6,68
45,labelsTs/img0036.nii.gz,7,37
46,labelsTs/img0036.nii.gz,8,95
47,labelsTs/img0036.nii.gz,9,83
48,labelsTs/img0036.nii.gz,10,18
49,labelsTs/img0036.nii.gz,11,30
50,labelsTs/img0036.nii.gz,12,17
51,labelsTs/img0036.nii.gz,13,19
52,labelsTs/img0032.nii.gz,1,32
53,labelsTs/img0032.nii.gz,2,35
54,labelsTs/img0032.nii.gz,3,34
55,labelsTs/img0032.nii.gz,4,14
56,labelsTs/img0032.nii.gz,5,20
57,labelsTs/img0032.nii.gz,6,59
58,labelsTs/img0032.nii.gz,7,40
59,labelsTs/img0032.nii.gz,8,73
60,labelsTs/img0032.nii.gz,9,73
61,labelsTs/img0032.nii.gz,10,16
62,labelsTs/img0032.nii.gz,11,27
63,labelsTs/img0032.nii.gz,12,12
64,labelsTs/img0032.nii.gz,13,11
65,labelsTs/img0003.nii.gz,1,35
66,labelsTs/img0003.nii.gz,2,40
67,labelsTs/img0003.nii.gz,3,42
68,labelsTs/img0003.nii.gz,4,15
69,labelsTs/img0003.nii.gz,5,36
70,labelsTs/img0003.nii.gz,6,65
71,labelsTs/img0003.nii.gz,7,48
72,labelsTs/img0003.nii.gz,8,101
73,labelsTs/img0003.nii.gz,9,93
74,labelsTs/img0003.nii.gz,10,28
75,labelsTs/img0003.nii.gz,11,30
76,labelsTs/img0003.nii.gz,12,15
77,labelsTs/img0003.nii.gz,13,18
