,task,gt_path,obj_id,n_pos
0,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,1,50
1,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,2,42
2,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,3,46
3,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,1,82
4,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,2,63
5,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,3,66
6,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,1,41
7,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,2,21
8,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,3,17
9,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,1,80
10,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,2,64
11,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,3,64
12,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,1,68
13,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,2,44
14,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,3,47
15,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,1,72
16,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,2,52
17,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,3,51
18,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,1,72
19,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,2,50
20,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,3,52
21,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,1,95
22,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,2,54
23,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,3,53
24,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,1,58
25,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,2,22
26,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,3,28
27,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,1,77
28,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,2,39
29,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,3,37
30,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,1,82
31,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,2,45
32,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,3,54
33,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_008.nii.gz,1,76
34,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_008.nii.gz,2,44
35,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_008.nii.gz,3,44
36,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_034.nii.gz,1,92
37,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_034.nii.gz,2,83
38,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_034.nii.gz,3,43
39,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_032.nii.gz,1,86
40,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_032.nii.gz,2,81
41,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_032.nii.gz,3,26
42,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_043.nii.gz,1,73
43,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_043.nii.gz,2,34
44,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_043.nii.gz,3,34
45,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_385.nii.gz,1,68
46,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_385.nii.gz,2,39
47,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_385.nii.gz,3,41
48,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_196.nii.gz,1,82
49,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_196.nii.gz,2,67
50,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_196.nii.gz,3,62
51,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_025.nii.gz,1,33
52,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_025.nii.gz,2,32
53,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_186.nii.gz,1,70
54,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_186.nii.gz,2,58
55,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_186.nii.gz,3,16
56,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_163.nii.gz,1,57
57,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_163.nii.gz,2,49
58,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_163.nii.gz,3,27
59,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_079.nii.gz,1,71
60,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_079.nii.gz,2,42
61,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_079.nii.gz,3,37
62,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_206.nii.gz,1,98
63,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_206.nii.gz,2,60
64,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_206.nii.gz,3,55
65,Task01_BrainTumour,Task01_BrainTumour/labelsTr/BRATS_237.nii.gz,1,64
