,task,gt_path,obj_id,n_pos
0,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_118.nii.gz,1,68
1,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_118.nii.gz,2,36
2,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_118.nii.gz,3,40
3,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_355.nii.gz,1,45
4,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_355.nii.gz,2,35
5,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_355.nii.gz,3,35
6,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_432.nii.gz,1,69
7,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_432.nii.gz,2,60
8,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_432.nii.gz,3,68
9,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_140.nii.gz,1,94
10,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_140.nii.gz,2,52
11,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_140.nii.gz,3,48
12,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_139.nii.gz,1,69
13,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_139.nii.gz,2,50
14,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_139.nii.gz,3,33
15,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_013.nii.gz,1,36
16,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_013.nii.gz,2,19
17,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_013.nii.gz,3,23
18,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_409.nii.gz,1,82
19,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_409.nii.gz,2,31
20,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_409.nii.gz,3,48
21,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_053.nii.gz,1,74
22,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_053.nii.gz,2,52
23,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_053.nii.gz,3,39
24,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_173.nii.gz,1,91
25,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_173.nii.gz,2,61
26,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_173.nii.gz,3,58
27,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_192.nii.gz,1,86
28,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_192.nii.gz,2,57
29,Task01_BrainTumour,Task01_BrainTumour/labelsTs/BRATS_192.nii.gz,3,48
