,task,gt_path,obj_id,n_pos
0,Task03_Liver,Task03_Liver/labelsTr/liver_2.nii.gz,1,139
1,Task03_Liver,Task03_Liver/labelsTr/liver_2.nii.gz,2,29
2,Task03_Liver,Task03_Liver/labelsTr/liver_46.nii.gz,1,41
3,Task03_Liver,Task03_Liver/labelsTr/liver_46.nii.gz,2,33
4,Task03_Liver,Task03_Liver/labelsTr/liver_104.nii.gz,1,194
5,Task03_Liver,Task03_Liver/labelsTr/liver_104.nii.gz,2,122
6,Task03_Liver,Task03_Liver/labelsTr/liver_79.nii.gz,1,59
7,Task03_Liver,Task03_Liver/labelsTr/liver_79.nii.gz,2,18
8,Task03_Liver,Task03_Liver/labelsTr/liver_98.nii.gz,1,241
9,Task03_Liver,Task03_Liver/labelsTr/liver_98.nii.gz,2,141
10,Task03_Liver,Task03_Liver/labelsTr/liver_128.nii.gz,1,292
11,Task03_Liver,Task03_Liver/labelsTr/liver_128.nii.gz,2,144
12,Task03_Liver,Task03_Liver/labelsTr/liver_42.nii.gz,1,115
13,Task03_Liver,Task03_Liver/labelsTr/liver_42.nii.gz,2,7
14,Task03_Liver,Task03_Liver/labelsTr/liver_123.nii.gz,1,115
15,Task03_Liver,Task03_Liver/labelsTr/liver_123.nii.gz,2,82
16,Task03_Liver,Task03_Liver/labelsTr/liver_16.nii.gz,1,187
17,Task03_Liver,Task03_Liver/labelsTr/liver_16.nii.gz,2,120
18,Task03_Liver,Task03_Liver/labelsTr/liver_17.nii.gz,1,198
19,Task03_Liver,Task03_Liver/labelsTr/liver_17.nii.gz,2,53
20,Task03_Liver,Task03_Liver/labelsTr/liver_91.nii.gz,1,189
21,Task03_Liver,Task03_Liver/labelsTr/liver_26.nii.gz,1,192
22,Task03_Liver,Task03_Liver/labelsTr/liver_26.nii.gz,2,85
23,Task03_Liver,Task03_Liver/labelsTr/liver_24.nii.gz,1,118
24,Task03_Liver,Task03_Liver/labelsTr/liver_24.nii.gz,2,7
25,Task03_Liver,Task03_Liver/labelsTr/liver_66.nii.gz,1,36
26,Task03_Liver,Task03_Liver/labelsTr/liver_66.nii.gz,2,7
27,Task03_Liver,Task03_Liver/labelsTr/liver_113.nii.gz,1,170
28,Task03_Liver,Task03_Liver/labelsTr/liver_113.nii.gz,2,136
29,Task03_Liver,Task03_Liver/labelsTr/liver_29.nii.gz,1,114
30,Task03_Liver,Task03_Liver/labelsTr/liver_29.nii.gz,2,22
31,Task03_Liver,Task03_Liver/labelsTr/liver_102.nii.gz,1,266
32,Task03_Liver,Task03_Liver/labelsTr/liver_102.nii.gz,2,45
33,Task03_Liver,Task03_Liver/labelsTr/liver_68.nii.gz,1,64
34,Task03_Liver,Task03_Liver/labelsTr/liver_68.nii.gz,2,9
35,Task03_Liver,Task03_Liver/labelsTr/liver_4.nii.gz,1,250
36,Task03_Liver,Task03_Liver/labelsTr/liver_4.nii.gz,2,244
37,Task03_Liver,Task03_Liver/labelsTr/liver_109.nii.gz,1,194
38,Task03_Liver,Task03_Liver/labelsTr/liver_109.nii.gz,2,131
39,Task03_Liver,Task03_Liver/labelsTr/liver_99.nii.gz,1,226
40,Task03_Liver,Task03_Liver/labelsTr/liver_99.nii.gz,2,91
41,Task03_Liver,Task03_Liver/labelsTr/liver_7.nii.gz,1,177
42,Task03_Liver,Task03_Liver/labelsTr/liver_7.nii.gz,2,83
43,Task03_Liver,Task03_Liver/labelsTr/liver_52.nii.gz,1,56
44,Task03_Liver,Task03_Liver/labelsTr/liver_52.nii.gz,2,21
45,Task03_Liver,Task03_Liver/labelsTr/liver_35.nii.gz,1,116
46,Task03_Liver,Task03_Liver/labelsTr/liver_35.nii.gz,2,29
47,Task03_Liver,Task03_Liver/labelsTr/liver_45.nii.gz,1,59
48,Task03_Liver,Task03_Liver/labelsTr/liver_45.nii.gz,2,11
49,Task03_Liver,Task03_Liver/labelsTr/liver_31.nii.gz,1,67
50,Task03_Liver,Task03_Liver/labelsTr/liver_31.nii.gz,2,37
51,Task03_Liver,Task03_Liver/labelsTr/liver_118.nii.gz,1,122
52,Task03_Liver,Task03_Liver/labelsTr/liver_118.nii.gz,2,87
53,Task03_Liver,Task03_Liver/labelsTr/liver_55.nii.gz,1,92
54,Task03_Liver,Task03_Liver/labelsTr/liver_55.nii.gz,2,6
55,Task03_Liver,Task03_Liver/labelsTr/liver_18.nii.gz,1,189
56,Task03_Liver,Task03_Liver/labelsTr/liver_18.nii.gz,2,44
57,Task03_Liver,Task03_Liver/labelsTr/liver_47.nii.gz,1,85
58,Task03_Liver,Task03_Liver/labelsTr/liver_49.nii.gz,1,73
59,Task03_Liver,Task03_Liver/labelsTr/liver_49.nii.gz,2,23
60,Task03_Liver,Task03_Liver/labelsTr/liver_124.nii.gz,1,112
61,Task03_Liver,Task03_Liver/labelsTr/liver_124.nii.gz,2,56
62,Task03_Liver,Task03_Liver/labelsTr/liver_28.nii.gz,1,98
63,Task03_Liver,Task03_Liver/labelsTr/liver_28.nii.gz,2,74
64,Task03_Liver,Task03_Liver/labelsTr/liver_75.nii.gz,1,37
65,Task03_Liver,Task03_Liver/labelsTr/liver_75.nii.gz,2,12
66,Task03_Liver,Task03_Liver/labelsTr/liver_73.nii.gz,1,50
67,Task03_Liver,Task03_Liver/labelsTr/liver_73.nii.gz,2,4
