,task,gt_path,obj_id,n_pos
0,Task03_Liver,Task03_Liver/labelsTs/liver_92.nii.gz,1,179
1,Task03_Liver,Task03_Liver/labelsTs/liver_92.nii.gz,2,45
2,Task03_Liver,Task03_Liver/labelsTs/liver_60.nii.gz,1,79
3,Task03_Liver,Task03_Liver/labelsTs/liver_60.nii.gz,2,18
4,Task03_Liver,Task03_Liver/labelsTs/liver_34.nii.gz,1,98
5,Task03_Liver,Task03_Liver/labelsTs/liver_70.nii.gz,1,110
6,Task03_Liver,Task03_Liver/labelsTs/liver_70.nii.gz,2,51
7,Task03_Liver,Task03_Liver/labelsTs/liver_125.nii.gz,1,112
8,Task03_Liver,Task03_Liver/labelsTs/liver_125.nii.gz,2,9
9,Task03_Liver,Task03_Liver/labelsTs/liver_88.nii.gz,1,175
10,Task03_Liver,Task03_Liver/labelsTs/liver_88.nii.gz,2,102
11,Task03_Liver,Task03_Liver/labelsTs/liver_76.nii.gz,1,75
12,Task03_Liver,Task03_Liver/labelsTs/liver_76.nii.gz,2,59
13,Task03_Liver,Task03_Liver/labelsTs/liver_30.nii.gz,1,123
14,Task03_Liver,Task03_Liver/labelsTs/liver_30.nii.gz,2,18
15,Task03_Liver,Task03_Liver/labelsTs/liver_96.nii.gz,1,299
16,Task03_Liver,Task03_Liver/labelsTs/liver_96.nii.gz,2,211
17,Task03_Liver,Task03_Liver/labelsTs/liver_22.nii.gz,1,46
18,Task03_Liver,Task03_Liver/labelsTs/liver_22.nii.gz,2,12
19,Task03_Liver,Task03_Liver/labelsTs/liver_51.nii.gz,1,56
20,Task03_Liver,Task03_Liver/labelsTs/liver_51.nii.gz,2,35
21,Task03_Liver,Task03_Liver/labelsTs/liver_103.nii.gz,1,214
22,Task03_Liver,Task03_Liver/labelsTs/liver_103.nii.gz,2,64
23,Task03_Liver,Task03_Liver/labelsTs/liver_116.nii.gz,1,219
24,Task03_Liver,Task03_Liver/labelsTs/liver_116.nii.gz,2,133
25,Task03_Liver,Task03_Liver/labelsTs/liver_127.nii.gz,1,227
26,Task03_Liver,Task03_Liver/labelsTs/liver_127.nii.gz,2,3
27,Task03_Liver,Task03_Liver/labelsTs/liver_105.nii.gz,1,239
28,Task03_Liver,Task03_Liver/labelsTs/liver_9.nii.gz,1,173
29,Task03_Liver,Task03_Liver/labelsTs/liver_9.nii.gz,2,80
30,Task03_Liver,Task03_Liver/labelsTs/liver_95.nii.gz,1,263
31,Task03_Liver,Task03_Liver/labelsTs/liver_95.nii.gz,2,14
32,Task03_Liver,Task03_Liver/labelsTs/liver_50.nii.gz,1,64
33,Task03_Liver,Task03_Liver/labelsTs/liver_50.nii.gz,2,7
34,Task03_Liver,Task03_Liver/labelsTs/liver_72.nii.gz,1,58
35,Task03_Liver,Task03_Liver/labelsTs/liver_72.nii.gz,2,17
36,Task03_Liver,Task03_Liver/labelsTs/liver_32.nii.gz,1,119
37,Task03_Liver,Task03_Liver/labelsTs/liver_39.nii.gz,1,233
38,Task03_Liver,Task03_Liver/labelsTs/liver_39.nii.gz,2,76
39,Task03_Liver,Task03_Liver/labelsTs/liver_25.nii.gz,1,232
40,Task03_Liver,Task03_Liver/labelsTs/liver_25.nii.gz,2,11
41,Task03_Liver,Task03_Liver/labelsTs/liver_78.nii.gz,1,59
42,Task03_Liver,Task03_Liver/labelsTs/liver_78.nii.gz,2,36
43,Task03_Liver,Task03_Liver/labelsTs/liver_71.nii.gz,1,36
44,Task03_Liver,Task03_Liver/labelsTs/liver_71.nii.gz,2,20
45,Task03_Liver,Task03_Liver/labelsTs/liver_61.nii.gz,1,61
46,Task03_Liver,Task03_Liver/labelsTs/liver_61.nii.gz,2,11
47,Task03_Liver,Task03_Liver/labelsTs/liver_83.nii.gz,1,215
48,Task03_Liver,Task03_Liver/labelsTs/liver_83.nii.gz,2,5
49,Task03_Liver,Task03_Liver/labelsTs/liver_90.nii.gz,1,183
50,Task03_Liver,Task03_Liver/labelsTs/liver_90.nii.gz,2,164
