,task,gt_path,obj_id,n_pos
0,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_024.nii.gz,1.0,12
1,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_024.nii.gz,2.0,19
2,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_171.nii.gz,1.0,13
3,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_171.nii.gz,2.0,13
4,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_089.nii.gz,1.0,14
5,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_089.nii.gz,2.0,21
6,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_325.nii.gz,1.0,15
7,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_325.nii.gz,2.0,21
8,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_056.nii.gz,1.0,17
9,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_056.nii.gz,2.0,23
10,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_381.nii.gz,1.0,15
11,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_381.nii.gz,2.0,23
12,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_373.nii.gz,1.0,15
13,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_373.nii.gz,2.0,21
14,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_162.nii.gz,1.0,13
15,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_162.nii.gz,2.0,19
16,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_227.nii.gz,1.0,15
17,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_227.nii.gz,2.0,19
18,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_386.nii.gz,1.0,18
19,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_386.nii.gz,2.0,20
20,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_356.nii.gz,1.0,16
21,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_356.nii.gz,2.0,21
22,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_160.nii.gz,1.0,14
23,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_160.nii.gz,2.0,15
24,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_007.nii.gz,1.0,19
25,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_007.nii.gz,2.0,20
26,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_223.nii.gz,1.0,15
27,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_223.nii.gz,2.0,21
28,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_320.nii.gz,1.0,11
29,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_320.nii.gz,2.0,21
30,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_370.nii.gz,1.0,14
31,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_370.nii.gz,2.0,21
32,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_215.nii.gz,1.0,14
33,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_215.nii.gz,2.0,19
34,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_065.nii.gz,1.0,14
35,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_065.nii.gz,2.0,19
36,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_188.nii.gz,1.0,13
37,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_188.nii.gz,2.0,21
38,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_253.nii.gz,1.0,15
39,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_253.nii.gz,2.0,14
40,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_141.nii.gz,1.0,14
41,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_141.nii.gz,2.0,25
42,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_102.nii.gz,1.0,13
43,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_102.nii.gz,2.0,18
44,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_057.nii.gz,1.0,13
45,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_057.nii.gz,2.0,19
46,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_224.nii.gz,1.0,15
47,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_224.nii.gz,2.0,19
48,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_337.nii.gz,1.0,18
49,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_337.nii.gz,2.0,28
50,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_300.nii.gz,1.0,15
51,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_300.nii.gz,2.0,18
52,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_276.nii.gz,1.0,14
53,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_276.nii.gz,2.0,18
54,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_052.nii.gz,1.0,16
55,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_052.nii.gz,2.0,22
56,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_235.nii.gz,1.0,13
57,Task04_Hippocampus,Task04_Hippocampus/labelsTr/hippocampus_235.nii.gz,2.0,19
