,task,gt_path,obj_id,n_pos
0,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_236.nii.gz,1,13
1,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_236.nii.gz,2,19
2,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_233.nii.gz,1,15
3,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_233.nii.gz,2,20
4,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_351.nii.gz,1,15
5,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_351.nii.gz,2,23
6,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_126.nii.gz,1,16
7,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_126.nii.gz,2,25
8,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_294.nii.gz,1,18
9,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_294.nii.gz,2,23
10,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_193.nii.gz,1,11
11,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_193.nii.gz,2,16
12,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_292.nii.gz,1,14
13,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_292.nii.gz,2,18
14,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_156.nii.gz,1,16
15,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_156.nii.gz,2,20
16,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_221.nii.gz,1,15
17,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_221.nii.gz,2,18
18,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_217.nii.gz,1,13
19,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_217.nii.gz,2,12
20,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_326.nii.gz,1,15
21,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_326.nii.gz,2,22
22,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_329.nii.gz,1,14
23,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_329.nii.gz,2,17
24,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_135.nii.gz,1,14
25,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_135.nii.gz,2,21
26,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_257.nii.gz,1,13
27,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_257.nii.gz,2,17
28,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_249.nii.gz,1,14
29,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_249.nii.gz,2,17
30,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_316.nii.gz,1,13
31,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_316.nii.gz,2,17
32,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_319.nii.gz,1,14
33,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_319.nii.gz,2,19
34,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_380.nii.gz,1,15
35,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_380.nii.gz,2,25
36,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_125.nii.gz,1,16
37,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_125.nii.gz,2,20
38,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_127.nii.gz,1,15
39,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_127.nii.gz,2,16
40,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_335.nii.gz,1,15
41,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_335.nii.gz,2,24
42,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_083.nii.gz,1,15
43,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_083.nii.gz,2,22
44,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_375.nii.gz,1,15
45,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_375.nii.gz,2,20
46,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_204.nii.gz,1,14
47,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_204.nii.gz,2,22
48,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_245.nii.gz,1,17
49,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_245.nii.gz,2,25
50,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_207.nii.gz,1,15
51,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_207.nii.gz,2,21
52,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_060.nii.gz,1,13
53,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_060.nii.gz,2,16
54,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_336.nii.gz,1,17
55,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_336.nii.gz,2,24
56,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_152.nii.gz,1,16
57,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_152.nii.gz,2,21
58,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_105.nii.gz,1,16
59,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_105.nii.gz,2,21
60,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_091.nii.gz,1,10
61,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_091.nii.gz,2,17
62,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_289.nii.gz,1,13
63,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_289.nii.gz,2,20
64,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_197.nii.gz,1,11
65,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_197.nii.gz,2,17
66,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_142.nii.gz,1,16
67,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_142.nii.gz,2,22
68,Task04_Hippocampus,Task04_Hippocampus/labelsTs/hippocampus_340.nii.gz,1,15
