,task,gt_path,obj_id,n_pos
0,Task05_Prostate,Task05_Prostate/labelsTr/prostate_42.nii.gz,1,10
1,Task05_Prostate,Task05_Prostate/labelsTr/prostate_42.nii.gz,2,18
2,Task05_Prostate,Task05_Prostate/labelsTr/prostate_43.nii.gz,1,9
3,Task05_Prostate,Task05_Prostate/labelsTr/prostate_43.nii.gz,2,13
4,Task05_Prostate,Task05_Prostate/labelsTr/prostate_04.nii.gz,1,9
5,Task05_Prostate,Task05_Prostate/labelsTr/prostate_04.nii.gz,2,14
6,Task05_Prostate,Task05_Prostate/labelsTr/prostate_17.nii.gz,1,9
7,Task05_Prostate,Task05_Prostate/labelsTr/prostate_17.nii.gz,2,13
8,Task05_Prostate,Task05_Prostate/labelsTr/prostate_13.nii.gz,1,11
9,Task05_Prostate,Task05_Prostate/labelsTr/prostate_13.nii.gz,2,12
10,Task05_Prostate,Task05_Prostate/labelsTr/prostate_24.nii.gz,1,15
11,Task05_Prostate,Task05_Prostate/labelsTr/prostate_24.nii.gz,2,18
12,Task05_Prostate,Task05_Prostate/labelsTr/prostate_31.nii.gz,1,12
13,Task05_Prostate,Task05_Prostate/labelsTr/prostate_31.nii.gz,2,16
14,Task05_Prostate,Task05_Prostate/labelsTr/prostate_25.nii.gz,1,14
15,Task05_Prostate,Task05_Prostate/labelsTr/prostate_25.nii.gz,2,19
16,Task05_Prostate,Task05_Prostate/labelsTr/prostate_34.nii.gz,1,10
17,Task05_Prostate,Task05_Prostate/labelsTr/prostate_34.nii.gz,2,13
18,Task05_Prostate,Task05_Prostate/labelsTr/prostate_38.nii.gz,1,13
19,Task05_Prostate,Task05_Prostate/labelsTr/prostate_38.nii.gz,2,20
20,Task05_Prostate,Task05_Prostate/labelsTr/prostate_46.nii.gz,1,8
21,Task05_Prostate,Task05_Prostate/labelsTr/prostate_46.nii.gz,2,11
22,Task05_Prostate,Task05_Prostate/labelsTr/prostate_35.nii.gz,1,9
23,Task05_Prostate,Task05_Prostate/labelsTr/prostate_35.nii.gz,2,18
24,Task05_Prostate,Task05_Prostate/labelsTr/prostate_29.nii.gz,1,8
25,Task05_Prostate,Task05_Prostate/labelsTr/prostate_29.nii.gz,2,14
26,Task05_Prostate,Task05_Prostate/labelsTr/prostate_00.nii.gz,1,11
27,Task05_Prostate,Task05_Prostate/labelsTr/prostate_00.nii.gz,2,14
28,Task05_Prostate,Task05_Prostate/labelsTr/prostate_20.nii.gz,1,10
29,Task05_Prostate,Task05_Prostate/labelsTr/prostate_20.nii.gz,2,17
30,Task05_Prostate,Task05_Prostate/labelsTr/prostate_21.nii.gz,1,11
31,Task05_Prostate,Task05_Prostate/labelsTr/prostate_21.nii.gz,2,14
32,Task05_Prostate,Task05_Prostate/labelsTr/prostate_16.nii.gz,1,10
33,Task05_Prostate,Task05_Prostate/labelsTr/prostate_16.nii.gz,2,20
34,Task05_Prostate,Task05_Prostate/labelsTr/prostate_06.nii.gz,1,10
35,Task05_Prostate,Task05_Prostate/labelsTr/prostate_06.nii.gz,2,17
36,Task05_Prostate,Task05_Prostate/labelsTr/prostate_02.nii.gz,1,11
37,Task05_Prostate,Task05_Prostate/labelsTr/prostate_02.nii.gz,2,18
38,Task05_Prostate,Task05_Prostate/labelsTr/prostate_47.nii.gz,1,11
39,Task05_Prostate,Task05_Prostate/labelsTr/prostate_47.nii.gz,2,18
40,Task05_Prostate,Task05_Prostate/labelsTr/prostate_41.nii.gz,1,12
41,Task05_Prostate,Task05_Prostate/labelsTr/prostate_41.nii.gz,2,16
42,Task05_Prostate,Task05_Prostate/labelsTr/prostate_44.nii.gz,1,8
43,Task05_Prostate,Task05_Prostate/labelsTr/prostate_44.nii.gz,2,11
44,Task05_Prostate,Task05_Prostate/labelsTr/prostate_10.nii.gz,1,9
45,Task05_Prostate,Task05_Prostate/labelsTr/prostate_10.nii.gz,2,11
46,Task05_Prostate,Task05_Prostate/labelsTr/prostate_39.nii.gz,1,8
47,Task05_Prostate,Task05_Prostate/labelsTr/prostate_39.nii.gz,2,15
48,Task05_Prostate,Task05_Prostate/labelsTr/prostate_28.nii.gz,1,8
49,Task05_Prostate,Task05_Prostate/labelsTr/prostate_28.nii.gz,2,10
