,task,gt_path,obj_id,n_pos
0,Task05_Prostate,Task05_Prostate/labelsTs/prostate_07.nii.gz,1,9
1,Task05_Prostate,Task05_Prostate/labelsTs/prostate_07.nii.gz,2,9
2,Task05_Prostate,Task05_Prostate/labelsTs/prostate_32.nii.gz,1,11
3,Task05_Prostate,Task05_Prostate/labelsTs/prostate_14.nii.gz,1,9
4,Task05_Prostate,Task05_Prostate/labelsTs/prostate_14.nii.gz,2,14
5,Task05_Prostate,Task05_Prostate/labelsTs/prostate_18.nii.gz,1,17
6,Task05_Prostate,Task05_Prostate/labelsTs/prostate_01.nii.gz,1,10
7,Task05_Prostate,Task05_Prostate/labelsTs/prostate_01.nii.gz,2,16
8,Task05_Prostate,Task05_Prostate/labelsTs/prostate_37.nii.gz,1,11
9,Task05_Prostate,Task05_Prostate/labelsTs/prostate_37.nii.gz,2,15
10,Task05_Prostate,Task05_Prostate/labelsTs/prostate_40.nii.gz,1,10
11,Task05_Prostate,Task05_Prostate/labelsTs/prostate_40.nii.gz,2,10
