,task,gt_path,obj_id,n_pos
0,Task06_Lung,Task06_Lung/labelsTs/lung_061.nii.gz,1,11
1,Task06_Lung,Task06_Lung/labelsTs/lung_086.nii.gz,1,41
2,Task06_Lung,Task06_Lung/labelsTs/lung_003.nii.gz,1,10
3,Task06_Lung,Task06_Lung/labelsTs/lung_093.nii.gz,1,13
4,Task06_Lung,Task06_Lung/labelsTs/lung_080.nii.gz,1,17
5,Task06_Lung,Task06_Lung/labelsTs/lung_047.nii.gz,1,21
6,Task06_Lung,Task06_Lung/labelsTs/lung_020.nii.gz,1,13
7,Task06_Lung,Task06_Lung/labelsTs/lung_084.nii.gz,1,36
8,Task06_Lung,Task06_Lung/labelsTs/lung_044.nii.gz,1,35
9,Task06_Lung,Task06_Lung/labelsTs/lung_078.nii.gz,1,9
10,Task06_Lung,Task06_Lung/labelsTs/lung_057.nii.gz,1,7
11,Task06_Lung,Task06_Lung/labelsTs/lung_022.nii.gz,1,69
12,Task06_Lung,Task06_Lung/labelsTs/lung_034.nii.gz,1,27
