,task,gt_path,obj_id,n_pos
0,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_111.nii.gz,1,19
1,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_111.nii.gz,2,2
2,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_126.nii.gz,1,41
3,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_126.nii.gz,2,13
4,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_045.nii.gz,1,14
5,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_045.nii.gz,2,8
6,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_366.nii.gz,1,41
7,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_366.nii.gz,2,7
8,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_380.nii.gz,1,23
9,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_380.nii.gz,2,11
10,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_294.nii.gz,1,37
11,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_294.nii.gz,2,17
12,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_309.nii.gz,1,31
13,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_309.nii.gz,2,9
14,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_159.nii.gz,1,36
15,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_159.nii.gz,2,11
16,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_289.nii.gz,1,33
17,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_289.nii.gz,2,10
18,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_110.nii.gz,1,29
19,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_110.nii.gz,2,6
20,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_346.nii.gz,1,29
21,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_346.nii.gz,2,7
22,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_103.nii.gz,1,30
23,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_103.nii.gz,2,8
24,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_117.nii.gz,1,33
25,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_117.nii.gz,2,8
26,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_145.nii.gz,1,32
27,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_145.nii.gz,2,6
28,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_401.nii.gz,1,15
29,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_401.nii.gz,2,7
30,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_179.nii.gz,1,28
31,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_179.nii.gz,2,6
32,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_296.nii.gz,1,20
33,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_296.nii.gz,2,4
34,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_278.nii.gz,1,33
35,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_278.nii.gz,2,10
36,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_101.nii.gz,1,18
37,Task07_Pancreas,Task07_Pancreas/labelsTr/pancreas_101.nii.gz,2,4
