,task,gt_path,obj_id,n_pos
0,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_327.nii.gz,1,33
1,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_327.nii.gz,2,8
2,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_125.nii.gz,1,35
3,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_125.nii.gz,2,10
4,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_267.nii.gz,1,36
5,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_267.nii.gz,2,6
6,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_274.nii.gz,1,42
7,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_274.nii.gz,2,17
8,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_246.nii.gz,1,35
9,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_246.nii.gz,2,6
10,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_069.nii.gz,1,19
11,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_069.nii.gz,2,10
12,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_375.nii.gz,1,40
13,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_375.nii.gz,2,9
14,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_279.nii.gz,1,28
15,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_279.nii.gz,2,9
16,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_350.nii.gz,1,36
17,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_350.nii.gz,2,7
18,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_224.nii.gz,1,38
19,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_224.nii.gz,2,7
20,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_300.nii.gz,1,35
21,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_300.nii.gz,2,12
22,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_370.nii.gz,1,16
23,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_370.nii.gz,2,13
24,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_129.nii.gz,1,13
25,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_129.nii.gz,2,5
26,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_169.nii.gz,1,36
27,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_169.nii.gz,2,8
28,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_243.nii.gz,1,17
29,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_243.nii.gz,2,4
30,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_104.nii.gz,1,32
31,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_104.nii.gz,2,6
32,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_056.nii.gz,1,29
33,Task07_Pancreas,Task07_Pancreas/labelsTs/pancreas_056.nii.gz,2,10
