,task,gt_path,obj_id,n_pos
0,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,1,24
1,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,2,5
2,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,1,27
3,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,2,21
4,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,1,19
5,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,2,18
6,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,1,69
7,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,2,37
8,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,1,78
9,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,2,57
10,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,1,28
11,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,2,7
12,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,1,17
13,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,2,6
14,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,1,23
15,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,2,2
16,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,1,50
17,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,2,11
18,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,1,83
19,Task08_HepaticVessel,Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,2,10
