,task,gt_path,obj_id,n_pos
0,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_217.nii.gz,1,27
1,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_217.nii.gz,2,5
2,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_442.nii.gz,1,26
3,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_442.nii.gz,2,24
4,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_116.nii.gz,1,21
5,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_116.nii.gz,2,10
6,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_238.nii.gz,1,43
7,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_238.nii.gz,2,43
8,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_458.nii.gz,1,133
9,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_458.nii.gz,2,28
10,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_396.nii.gz,1,28
11,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_396.nii.gz,2,11
12,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_318.nii.gz,1,101
13,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_318.nii.gz,2,31
14,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_023.nii.gz,1,33
15,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_023.nii.gz,2,30
16,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_235.nii.gz,1,22
17,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_235.nii.gz,2,13
18,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_008.nii.gz,1,34
19,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_008.nii.gz,2,6
20,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_061.nii.gz,1,30
21,Task08_HepaticVessel,Task08_HepaticVessel/labelsTs/hepaticvessel_061.nii.gz,2,18
