,task,gt_path,obj_id,n_pos
0,Task09_Spleen,Task09_Spleen/labelsTr/spleen_49.nii.gz,1,25
1,Task09_Spleen,Task09_Spleen/labelsTr/spleen_26.nii.gz,1,15
2,Task09_Spleen,Task09_Spleen/labelsTr/spleen_14.nii.gz,1,21
3,Task09_Spleen,Task09_Spleen/labelsTr/spleen_53.nii.gz,1,18
4,Task09_Spleen,Task09_Spleen/labelsTr/spleen_29.nii.gz,1,20
5,Task09_Spleen,Task09_Spleen/labelsTr/spleen_59.nii.gz,1,23
6,Task09_Spleen,Task09_Spleen/labelsTr/spleen_62.nii.gz,1,21
7,Task09_Spleen,Task09_Spleen/labelsTr/spleen_6.nii.gz,1,58
8,Task09_Spleen,Task09_Spleen/labelsTr/spleen_2.nii.gz,1,20
9,Task09_Spleen,Task09_Spleen/labelsTr/spleen_40.nii.gz,1,16
10,Task09_Spleen,Task09_Spleen/labelsTr/spleen_17.nii.gz,1,28
11,Task09_Spleen,Task09_Spleen/labelsTr/spleen_18.nii.gz,1,61
12,Task09_Spleen,Task09_Spleen/labelsTr/spleen_63.nii.gz,1,25
13,Task09_Spleen,Task09_Spleen/labelsTr/spleen_19.nii.gz,1,18
14,Task09_Spleen,Task09_Spleen/labelsTr/spleen_33.nii.gz,1,23
15,Task09_Spleen,Task09_Spleen/labelsTr/spleen_28.nii.gz,1,14
16,Task09_Spleen,Task09_Spleen/labelsTr/spleen_44.nii.gz,1,10
17,Task09_Spleen,Task09_Spleen/labelsTr/spleen_3.nii.gz,1,14
18,Task09_Spleen,Task09_Spleen/labelsTr/spleen_9.nii.gz,1,25
19,Task09_Spleen,Task09_Spleen/labelsTr/spleen_46.nii.gz,1,17
20,Task09_Spleen,Task09_Spleen/labelsTr/spleen_24.nii.gz,1,11
21,Task09_Spleen,Task09_Spleen/labelsTr/spleen_22.nii.gz,1,69
22,Task09_Spleen,Task09_Spleen/labelsTr/spleen_60.nii.gz,1,20
23,Task09_Spleen,Task09_Spleen/labelsTr/spleen_21.nii.gz,1,35
24,Task09_Spleen,Task09_Spleen/labelsTr/spleen_32.nii.gz,1,22
25,Task09_Spleen,Task09_Spleen/labelsTr/spleen_10.nii.gz,1,17
26,Task09_Spleen,Task09_Spleen/labelsTr/spleen_52.nii.gz,1,25
27,Task09_Spleen,Task09_Spleen/labelsTr/spleen_27.nii.gz,1,19
28,Task09_Spleen,Task09_Spleen/labelsTr/spleen_31.nii.gz,1,22
29,Task09_Spleen,Task09_Spleen/labelsTr/spleen_61.nii.gz,1,14
30,Task09_Spleen,Task09_Spleen/labelsTr/spleen_12.nii.gz,1,80
31,Task09_Spleen,Task09_Spleen/labelsTr/spleen_38.nii.gz,1,12
