,task,gt_path,obj_id,n_pos
0,Task10_Colon,Task10_Colon/labelsTs/colon_213.nii.gz,1.0,8
1,Task10_Colon,Task10_Colon/labelsTs/colon_114.nii.gz,1.0,5
2,Task10_Colon,Task10_Colon/labelsTs/colon_120.nii.gz,1.0,4
3,Task10_Colon,Task10_Colon/labelsTs/colon_102.nii.gz,1.0,9
4,Task10_Colon,Task10_Colon/labelsTs/colon_215.nii.gz,1.0,6
5,Task10_Colon,Task10_Colon/labelsTs/colon_187.nii.gz,1.0,9
6,Task10_Colon,Task10_Colon/labelsTs/colon_119.nii.gz,1.0,10
7,Task10_Colon,Task10_Colon/labelsTs/colon_133.nii.gz,1.0,7
8,Task10_Colon,Task10_Colon/labelsTs/colon_046.nii.gz,1.0,6
9,Task10_Colon,Task10_Colon/labelsTs/colon_009.nii.gz,1.0,10
10,Task10_Colon,Task10_Colon/labelsTs/colon_015.nii.gz,1.0,12
11,Task10_Colon,Task10_Colon/labelsTs/colon_008.nii.gz,1.0,12
12,Task10_Colon,Task10_Colon/labelsTs/colon_194.nii.gz,1.0,12
13,Task10_Colon,Task10_Colon/labelsTs/colon_136.nii.gz,1.0,11
14,Task10_Colon,Task10_Colon/labelsTs/colon_024.nii.gz,1.0,18
15,Task10_Colon,Task10_Colon/labelsTs/colon_139.nii.gz,1.0,13
16,Task10_Colon,Task10_Colon/labelsTs/colon_028.nii.gz,1.0,7
17,Task10_Colon,Task10_Colon/labelsTs/colon_216.nii.gz,1.0,6
18,Task10_Colon,Task10_Colon/labelsTs/colon_091.nii.gz,1.0,17
19,Task10_Colon,Task10_Colon/labelsTs/colon_208.nii.gz,1.0,5
20,Task10_Colon,Task10_Colon/labelsTs/colon_011.nii.gz,1.0,6
21,Task10_Colon,Task10_Colon/labelsTs/colon_032.nii.gz,1.0,7
22,Task10_Colon,Task10_Colon/labelsTs/colon_203.nii.gz,1.0,13
23,Task10_Colon,Task10_Colon/labelsTs/colon_001.nii.gz,1.0,3
24,Task10_Colon,Task10_Colon/labelsTs/colon_098.nii.gz,1.0,7
25,Task10_Colon,Task10_Colon/labelsTs/colon_172.nii.gz,1.0,7
